,Transmission,Drive,Drive Type,Engine Size,Engine Cylinders,City MPG,Highway MPG,Fuel,Super,Class
1039,Automatic,All wheel,-1,2.0,4.0,23,32.0,Gas,Turbo,Sedan
1040,Automatic,4 wheel,-1,3.6,6.0,17,24.0,Gas,None,Truck
1041,Automatic,2 wheel,Front,3.5,6.0,16,23.0,Gas,None,Van
1042,Automatic,2 wheel,Front,3.5,6.0,19,28.0,Gas,None,Van
1043,Automatic,2 wheel,Rear,6.2,8.0,16,24.0,Gas,None,Convertible
1044,Automatic,4 wheel,-1,3.0,6.0,18,24.0,Gas,Turbo,Suv-crossover
1045,Automatic,4 wheel,-1,1.5,3.0,25,28.0,Gas,Turbo,Suv-crossover
1046,Automatic,All wheel,-1,6.0,12.0,11,18.0,Gas,Turbo,Convertible
1047,Automatic,2 wheel,Rear,2.0,4.0,22,32.0,Gas,Turbo,Convertible
1048,Automatic,4 wheel,-1,5.7,8.0,19,24.0,Gas,None,Truck
1049,Automatic,2 wheel,Front,2.5,4.0,25,34.0,Gas,None,Sedan
1050,Automatic,2 wheel,Front,3.3,6.0,18,24.0,Gas,None,Van
1051,Automatic,All wheel,-1,2.0,4.0,27,32.0,Gas,None,Suv-crossover
1052,Automatic,2 wheel,Front,3.6,6.0,19,28.0,Gas,None,Van
